127.0.0.1, 2013-06-17 09:53:32, GET, /init/appadmin/select/researchdb, HTTP/1.1, 200, 0.500000
127.0.0.1, 2013-06-17 09:53:32, GET, /init/static/style.css, HTTP/1.1, 404, 0.000000
127.0.0.1, 2013-06-17 09:53:35, GET, /init/appadmin/index, HTTP/1.1, 200, 0.390000
127.0.0.1, 2013-06-17 09:53:41, GET, /init/appadmin/select/db, HTTP/1.1, 200, 0.422000
127.0.0.1, 2013-06-17 09:53:41, GET, /init/static/styles.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-06-17 09:53:41, GET, /init/static/calendar.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-06-17 09:53:41, GET, /init/static/jquery.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-06-17 09:53:41, GET, /init/static/style.css, HTTP/1.1, 404, 0.031000
127.0.0.1, 2013-06-17 09:53:41, GET, /init/static/calendar.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-06-17 09:53:42, GET, /init/static/title.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-06-17 09:53:47, GET, /init/appadmin/update/db/file_hash/1, HTTP/1.1, 200, 0.328000
127.0.0.1, 2013-06-17 09:53:47, GET, /init/static/style.css, HTTP/1.1, 404, 0.000000
127.0.0.1, 2013-06-17 09:53:53, GET, /init/appadmin/select/db, HTTP/1.1, 200, 0.421000
127.0.0.1, 2013-06-17 09:53:56, GET, /init/appadmin/index, HTTP/1.1, 200, 0.499000
127.0.0.1, 2013-06-17 09:54:09, GET, /init/appadmin/select/db, HTTP/1.1, 200, 0.360000
127.0.0.1, 2013-06-17 09:54:09, GET, /init/static/style.css, HTTP/1.1, 404, 0.000000
127.0.0.1, 2013-06-17 09:54:13, GET, /init/appadmin/index, HTTP/1.1, 200, 0.422000
127.0.0.1, 2013-06-17 09:54:19, GET, /init/appadmin/select/db, HTTP/1.1, 200, 0.297000
127.0.0.1, 2013-06-17 09:54:19, GET, /init/static/style.css, HTTP/1.1, 404, 0.000000
127.0.0.1, 2013-06-17 09:54:21, GET, /init/appadmin/index, HTTP/1.1, 200, 0.438000
127.0.0.1, 2013-06-17 09:54:34, GET, /init/appadmin/select/cynotedb, HTTP/1.1, 200, 0.218000
127.0.0.1, 2013-06-17 09:54:34, GET, /init/static/style.css, HTTP/1.1, 404, 0.000000
127.0.0.1, 2013-06-17 09:54:39, GET, /init/appadmin/index, HTTP/1.1, 200, 0.359000
127.0.0.1, 2013-06-17 09:54:41, GET, /init/appadmin/insert/cynotedb/trackbook, HTTP/1.1, 200, 0.203000
127.0.0.1, 2013-06-17 09:54:41, GET, /init/static/style.css, HTTP/1.1, 404, 0.000000
127.0.0.1, 2013-06-17 09:54:47, GET, /init/appadmin/index, HTTP/1.1, 200, 0.312000
127.0.0.1, 2013-06-17 09:55:52, GET, /init/appadmin/select/cynotedb, HTTP/1.1, 200, 0.640000
127.0.0.1, 2013-06-17 09:55:52, GET, /init/static/style.css, HTTP/1.1, 404, 0.000000
127.0.0.1, 2013-06-17 09:56:04, GET, /init/appadmin/download/cynotedb/comment.file.af7bcde0a5cc0bb9.72657669657720636f6d6d656e74732e706466.pdf, HTTP/1.1, 200, 0.297000
127.0.0.1, 2013-06-17 09:56:10, GET, /init/appadmin/download/cynotedb/comment.file.9034b17686ca917c.436f6d6d656e74734f6e4d616e757363726970744d6175726963653034446563323031322e646f63.doc, HTTP/1.1, 200, 0.360000
127.0.0.1, 2013-06-17 09:57:19, GET, /init/savedatabase/online, HTTP/1.1, 404, 0.500000
127.0.0.1, 2013-06-17 09:57:23, GET, /init/default/index, HTTP/1.1, 200, 0.328000
127.0.0.1, 2013-06-17 10:08:36, GET, /init/appadmin/index, HTTP/1.1, 200, 0.578000
127.0.0.1, 2013-06-17 10:08:39, GET, /admin/default/design/init, HTTP/1.1, 200, 0.390000
127.0.0.1, 2013-06-17 10:11:35, GET, /admin/default/plugin/init/template, HTTP/1.1, 200, 0.188000
127.0.0.1, 2013-06-17 10:11:46, GET, /admin/default/design/init, HTTP/1.1, 200, 0.391000
127.0.0.1, 2013-06-17 10:13:43, GET, /admin/default/edit/init/models/cynotedb.py, HTTP/1.1, 200, 0.219000
127.0.0.1, 2013-06-17 10:13:43, GET, /admin/static/codemirror/lib/util/dialog.css, HTTP/1.1, 200, 0.032000
127.0.0.1, 2013-06-17 10:13:43, GET, /admin/static/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.062000
127.0.0.1, 2013-06-17 10:13:43, GET, /admin/static/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.047000
127.0.0.1, 2013-06-17 10:13:43, GET, /admin/static/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.031000
127.0.0.1, 2013-06-17 10:13:43, GET, /admin/static/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.078000
127.0.0.1, 2013-06-17 10:13:43, GET, /admin/static/codemirror/mode/clike/clike.js, HTTP/1.1, 200, 0.093000
127.0.0.1, 2013-06-17 10:13:43, GET, /admin/static/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.109000
127.0.0.1, 2013-06-17 10:13:43, GET, /admin/static/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.156000
127.0.0.1, 2013-06-17 10:13:43, GET, /admin/static/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.031000
127.0.0.1, 2013-06-17 10:13:43, GET, /admin/static/codemirror/lib/util/searchcursor.js, HTTP/1.1, 200, 0.078000
127.0.0.1, 2013-06-17 10:13:43, GET, /admin/static/codemirror/lib/util/dialog.js, HTTP/1.1, 200, 0.047000
127.0.0.1, 2013-06-17 10:13:43, GET, /admin/static/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.203000
127.0.0.1, 2013-06-17 10:13:44, GET, /admin/static/codemirror/lib/util/search.js, HTTP/1.1, 200, 0.172000
127.0.0.1, 2013-06-17 10:13:44, GET, /admin/static/js/ajax_editor.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2013-06-17 10:13:44, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.015000
127.0.0.1, 2013-06-17 10:13:44, GET, /admin/static/codemirror/emmet.min.js, HTTP/1.1, 200, 0.203000
127.0.0.1, 2013-06-17 10:13:45, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.391000
127.0.0.1, 2013-06-17 10:20:44, GET, /admin/default/edit/init/models/db.py, HTTP/1.1, 200, 0.187000
127.0.0.1, 2013-06-17 10:20:45, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.063000
127.0.0.1, 2013-06-17 10:21:13, GET, /admin/default/edit/init/models/researchdb.py, HTTP/1.1, 200, 0.187000
127.0.0.1, 2013-06-17 10:21:13, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.063000
127.0.0.1, 2013-06-17 10:21:16, GET, /admin/default/edit/init/models/researchdb_adhoc.py, HTTP/1.1, 200, 0.172000
127.0.0.1, 2013-06-17 10:21:17, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.094000
127.0.0.1, 2013-06-17 10:21:21, GET, /admin/default/edit/init/models/userdb.py, HTTP/1.1, 200, 0.234000
127.0.0.1, 2013-06-17 10:21:22, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.063000
127.0.0.1, 2013-06-17 10:22:34, GET, /admin/default/edit/init/controllers/savedatabase.py, HTTP/1.1, 200, 0.187000
127.0.0.1, 2013-06-17 10:22:35, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.110000
127.0.0.1, 2013-06-17 10:22:58, GET, /admin/default/edit/init/views/savedatabase/form.html, HTTP/1.1, 200, 0.172000
127.0.0.1, 2013-06-17 10:22:58, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.078000
127.0.0.1, 2013-06-17 10:23:06, GET, /admin/default/edit/init/models/cynotedb.py, HTTP/1.1, 200, 0.187000
127.0.0.1, 2013-06-17 10:23:07, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.078000
127.0.0.1, 2013-06-17 10:23:12, GET, /admin/default/edit/init/controllers/__init__.py, HTTP/1.1, 200, 0.187000
127.0.0.1, 2013-06-17 10:23:13, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.062000
127.0.0.1, 2013-06-17 10:23:15, GET, /admin/default/edit/init/controllers/account.py, HTTP/1.1, 200, 0.203000
127.0.0.1, 2013-06-17 10:23:16, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.078000
127.0.0.1, 2013-06-19 08:48:52, GET, /admin, HTTP/1.1, 200, 1.297000
127.0.0.1, 2013-06-19 08:48:52, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.078000
127.0.0.1, 2013-06-19 08:48:52, GET, /admin/static/js/web2py.js, HTTP/1.1, 304, 0.110000
127.0.0.1, 2013-06-19 08:48:52, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.125000
127.0.0.1, 2013-06-19 08:48:52, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.125000
127.0.0.1, 2013-06-19 08:48:52, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.094000
127.0.0.1, 2013-06-19 08:48:52, GET, /admin/static/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.062000
127.0.0.1, 2013-06-19 08:48:52, GET, /admin/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.281000
127.0.0.1, 2013-06-19 08:48:52, GET, /admin/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.156000
127.0.0.1, 2013-06-19 08:48:52, GET, /admin/static/images/questions.png, HTTP/1.1, 304, 0.047000
127.0.0.1, 2013-06-19 08:48:52, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.109000
127.0.0.1, 2013-06-19 08:48:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2013-06-19 08:48:56, POST, /admin/default/index, HTTP/1.1, 303, 0.390000
127.0.0.1, 2013-06-19 08:48:56, GET, /admin/default/site, HTTP/1.1, 200, 0.234000
127.0.0.1, 2013-06-19 08:48:57, POST, /admin/default/check_version, HTTP/1.1, 200, 1.312000
127.0.0.1, 2013-06-19 08:52:43, POST, /admin/default/site, HTTP/1.1, 303, 2.344000
127.0.0.1, 2013-06-19 08:52:43, GET, /admin/default/design/tsweb, HTTP/1.1, 200, 0.359000
127.0.0.1, 2013-06-19 08:53:15, GET, /tsweb, HTTP/1.1, 200, 3.594000
127.0.0.1, 2013-06-19 08:53:15, GET, /tsweb/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-06-19 08:53:15, GET, /tsweb/static/css/calendar.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-06-19 08:53:15, GET, /tsweb/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-06-19 08:53:15, GET, /tsweb/static/css/web2py.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-06-19 08:53:15, GET, /tsweb/static/js/calendar.js, HTTP/1.1, 200, 0.031000
127.0.0.1, 2013-06-19 08:53:15, GET, /tsweb/static/js/web2py.js, HTTP/1.1, 200, 0.031000
127.0.0.1, 2013-06-19 08:53:15, GET, /tsweb/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-06-19 08:53:15, GET, /tsweb/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-06-19 08:53:15, GET, /tsweb/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-06-19 08:53:15, GET, /tsweb/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.015000
